Status,Application Creation Date,Approved / Refused Date,Recorded / Rejected Date,Water Share ID,Water System Source,Reliability,Trading Zone Source,Seller Water Authority,Seller Trading Zone Use,Buyer Water Authority,Buyer Trading Zone Use,Volume Traded (ML),Price Per ML ($),Create_date,Create_date_ordinal,Cluster
Recorded,2011-10-26,14/11/2011,08/12/2011,WEE****58,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,20.0,1500.0,2011-10-26,734436,0
Recorded,2009-11-18,19/11/2009,16/12/2009,WEE****98,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,32.5,52.31,2009-11-18,733729,1
Recorded,2009-04-11,04/11/2009,10/12/2009,WEE****10,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,32.2,2300.0,2009-04-11,733508,0
Recorded,2012-06-21,28/06/2012,29/06/2012,WEE****21,Murray,Low,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,118.6,150.0,2012-06-21,734675,1
Recorded,2023-05-07,24/07/2023,31/07/2023,WEE****08,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,18.0,7450.0,2023-05-07,738647,0
Recorded,2021-04-23,04/05/2021,14/06/2021,WEE****69,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,2.5,6000.0,2021-04-23,737903,0
Recorded,2021-01-06,16/06/2021,23/06/2021,WEE****53,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,13.6,6100.0,2021-01-06,737796,0
Recorded,2020-11-30,30/11/2020,08/01/2021,WEE****01,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,1341.1,0.0,2020-11-30,737759,1
Recorded,2014-10-27,27/10/2014,04/12/2014,WEE****61,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,17.0,1650.0,2014-10-27,735533,0
Recorded,2022-03-16,26/04/2022,27/05/2022,WEE****65,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,2.0,0.0,2022-03-16,738230,1
